TID,OBJECTID,ORGANIZATION,LOCATEID,COLLECADDRES,COLLECCITY,COLLECZIP,COMP_ADDR,FIPSCOUNTY,JURISDNAME,TRAPTYPE,OrgLocIDTrap,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,ISPOS,TESTDATE,GENUS,SPECIES,U_trap2,TRAPTYPE,Loc_name,LOGITUDE,LATITUDE,COLLECSAMPLEID,U_id2,Numtests,COLLECDATE,WEEK_NEW,YEAR
Y11P03237,185655,IDPH,IDPH 06,7401 WEST LAWRENCE AVE.,HARWOOD HEIGHTS,60706,7401 WEST LAWRENCE AVE._HARWOOD HEIGHTS_60706,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,IDPH|IDPH 06|GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,07-Jul-11,Culex,PIPIENS/RESTUANS,UTC1136,GRAVID TRAP,IDPH,-87.812131,41.967093,254,UTC1136 254,1,06-Jul-11,27,2011
Y11P12924,192146,COOK COUNTY HEALTH DEPT,37,1111 JOSEPH SCHWAB ROAD,DES PLAINES,60016,1111 JOSEPH SCHWAB ROAD_DES PLAINES_60016,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,COOK COUNTY HEALTH DEPT|37|GRAVID TRAP,34,Female,RAMP WNV,POSITIVE,1,10-Aug-11,Culex,PIPIENS/RESTUANS,UTC1187,GRAVID TRAP,IDPH,-87.874629,42.032471,466,UTC1187 466,1,08-Jul-11,27,2011
Y11P03859,186340,North Shore MAD,NSG25,CENTENNIAL PARK,KENILWORTH,60043,CENTENNIAL PARK_KENILWORTH_60043,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,North Shore MAD|NSG25|GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,14-Jul-11,Culex,PIPIENS,UTC1226,GRAVID TRAP,IDPH,-87.716083,42.085583,NS407,UTC1226 NS407,2,08-Jul-11,27,2011
Y11P04161,186515,Desplaines Valley MAD,br,First Ave. & 31st St.,BROOKFIELD,60513,First Ave. & 31st St._BROOKFIELD_60513,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,Desplaines Valley MAD|br|GRAVID TRAP,30,Female,PCRWNV,POSITIVE,1,19-Jul-11,Culex,PIPIENS/RESTUANS,UTC1004,GRAVID TRAP,IDPH,-87.83992,41.83077,dv452,UTC1004 dv452,2,10-Jul-11,28,2011
Y11P06599,188373,Northwest MAD,NWGL1,435 Hazelwood,GLENVIEW,60025,435 Hazelwood_GLENVIEW_60025,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,Northwest MAD|NWGL1|GRAVID TRAP,45,Female,PCRWNV,POSITIVE,1,26-Jul-11,Culex,SPP,UTC1213,GRAVID TRAP,IDPH,-87.8411,42.06308,260,UTC1213 260,2,11-Jul-11,28,2011
Y11P06683,188401,Northwest MAD,NWNB1,2005 LA VIGNE LN,NORTHBROOK,60056,2005 LA VIGNE LN_NORTHBROOK_60056,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,Northwest MAD|NWNB1|GRAVID TRAP,30,Female,PCRWNV,POSITIVE,1,26-Jul-11,Culex,SPP,UTC1245,GRAVID TRAP,IDPH,-87.860278,42.115833,295,UTC1245 295,2,13-Jul-11,28,2011
Y11P05773,187551,DUPAGE COUNTY HEALTH DEPT,310,CHURCH ST,BENSENVILLE,60106,CHURCH ST_BENSENVILLE_60106,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,DUPAGE COUNTY HEALTH DEPT|310|GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,15-Jul-11,Culex,SP,UTC1118,GRAVID TRAP,IDPH,-87.94689,41.95417,E11114,UTC1118 E11114,1,14-Jul-11,28,2011
Y11P08152,189263,COOK COUNTY HEALTH DEPT,8,1421 MILWAUKEE,GLENVIEW,60025,1421 MILWAUKEE_GLENVIEW_60025,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,COOK COUNTY HEALTH DEPT|8|GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,19-Jul-11,Culex,PIPIENS/RESTUANS,UTC1224,GRAVID TRAP,IDPH,-87.864734,42.081525,192,UTC1224 192,1,15-Jul-11,28,2011
Y11P08584,189471,North Shore MAD,NSG25,CENTENNIAL PARK,KENILWORTH,60043,CENTENNIAL PARK_KENILWORTH_60043,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,North Shore MAD|NSG25|GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,22-Jul-11,Culex,PIPIENS,UTC1226,GRAVID TRAP,IDPH,-87.716083,42.085583,NS516,UTC1226 NS516,2,15-Jul-11,28,2011
Y11P05917,187608,Desplaines Valley MAD,hk,8890 67TH ST.,HODGKINS,60525,8890 67TH ST._HODGKINS_60525,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,Desplaines Valley MAD|hk|GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,27-Jul-11,Culex,PIPIENS/RESTUANS,UTC0951,GRAVID TRAP,IDPH,-87.85477,41.76822,dv536,UTC0951 dv536,2,17-Jul-11,29,2011
Y11P08809,189581,Northwest MAD,NWSC3,722 DARTMOUTH LN.,SCHAUMBURG,60193,722 DARTMOUTH LN._SCHAUMBURG_60193,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,Northwest MAD|NWSC3|GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,26-Jul-11,Culex,SPP,UTC1170,GRAVID TRAP,IDPH,-88.11345,42.00641,367,UTC1170 367,1,18-Jul-11,29,2011
Y11P08671,189500,North Shore MAD,NSG17,212 DEWEY,EVANSTON,60201,212 DEWEY_EVANSTON_60201,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,North Shore MAD|NSG17|GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,22-Jul-11,Culex,PIPIENS,UTC1181,GRAVID TRAP,IDPH,-87.696433,42.022067,NS545,UTC1181 NS545,2,18-Jul-11,29,2011
Y11P08867,189610,Northwest MAD,NWGL1,435 Hazelwood,GLENVIEW,60025,435 Hazelwood_GLENVIEW_60025,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,Northwest MAD|NWGL1|GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,26-Jul-11,Culex,SPP,UTC1213,GRAVID TRAP,IDPH,-87.8411,42.06308,352,UTC1213 352,1,18-Jul-11,29,2011
Y11P08805,189579,Northwest MAD,NWAH1,300 S. Bristol,ARLINGTON HEIGHTS,60005,300 S. Bristol_ARLINGTON HEIGHTS_60005,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,Northwest MAD|NWAH1|GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,26-Jul-11,Culex,SPP,UTC1222,GRAVID TRAP,IDPH,-87.9759,42.079433,341-1,UTC1222 341-1,1,18-Jul-11,29,2011
Y11P08879,189616,Northwest MAD,NWNB2,3120 N. Milwaukee,NORTHBROOK,60062,3120 N. Milwaukee_NORTHBROOK_60062,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,Northwest MAD|NWNB2|GRAVID TRAP,45,Female,PCRWNV,POSITIVE,1,26-Jul-11,Culex,SPP,UTC1230,GRAVID TRAP,IDPH,-87.88538,42.09502,358,UTC1230 358,1,18-Jul-11,29,2011
Y11P08839,189596,Northwest MAD,NWSC3,722 DARTMOUTH LN.,SCHAUMBURG,60193,722 DARTMOUTH LN._SCHAUMBURG_60193,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,Northwest MAD|NWSC3|GRAVID TRAP,41,Female,PCRWNV,POSITIVE,1,26-Jul-11,Culex,SPP,UTC1170,GRAVID TRAP,IDPH,-88.11345,42.00641,382,UTC1170 382,1,19-Jul-11,29,2011
Y11P08829,189591,Northwest MAD,NWPH2,14 E. CAMP MCDONALD ROAD,PROSPECT HEIGHTS,60070,14 E. CAMP MCDONALD ROAD_PROSPECT HEIGHTS_60070,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,Northwest MAD|NWPH2|GRAVID TRAP,25,Female,PCRWNV,POSITIVE,1,26-Jul-11,Culex,SPP,UTC1204,GRAVID TRAP,IDPH,-87.934,42.046,377,UTC1204 377,1,19-Jul-11,29,2011
Y11P08811,189582,Northwest MAD,NWGL1,435 Hazelwood,GLENVIEW,60025,435 Hazelwood_GLENVIEW_60025,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,Northwest MAD|NWGL1|GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,26-Jul-11,Culex,SPP,UTC1213,GRAVID TRAP,IDPH,-87.8411,42.06308,368,UTC1213 368,1,19-Jul-11,29,2011
Y11P08817,189585,Northwest MAD,NWGL1,435 Hazelwood,GLENVIEW,60025,435 Hazelwood_GLENVIEW_60025,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,Northwest MAD|NWGL1|GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,26-Jul-11,Culex,SPP,UTC1213,GRAVID TRAP,IDPH,-87.8411,42.06308,371,UTC1213 371,1,19-Jul-11,29,2011
Y11P07491,188885,CHICAGO HEALTH DEPT,T225,8200 S KOSTNER AVE,CHICAGO,60652,8200 S KOSTNER AVE_CHICAGO_60652,COOK,CHICAGO HEALTH DEPT,GRAVID TRAP,CHICAGO HEALTH DEPT|T225|GRAVID TRAP,16,Female,PCRWNV,POSITIVE,1,25-Jul-11,Culex,RESTUANS,UTC0933,GRAVID TRAP,IDPH,-87.731457,41.743395,31644,UTC0933 31644,1,20-Jul-11,29,2011
Y11P07255,188767,CHICAGO HEALTH DEPT,T915,10000 W OHARE AIRPORT,CHICAGO,60666,10000 W OHARE AIRPORT_CHICAGO_60666,COOK,CHICAGO HEALTH DEPT,GRAVID TRAP,CHICAGO HEALTH DEPT|T915|GRAVID TRAP,37,Female,PCRWNV,POSITIVE,1,25-Jul-11,Culex,PIPIENS/RESTUANS,UTC1140,GRAVID TRAP,IDPH,-87.89703,41.96849,31548,UTC1140 31548,1,20-Jul-11,29,2011
Y11P07513,188896,CHICAGO HEALTH DEPT,T915,10000 W OHARE AIRPORT,CHICAGO,60666,10000 W OHARE AIRPORT_CHICAGO_60666,COOK,CHICAGO HEALTH DEPT,GRAVID TRAP,CHICAGO HEALTH DEPT|T915|GRAVID TRAP,21,Female,PCRWNV,POSITIVE,1,25-Jul-11,Culex,RESTUANS,UTC1140,GRAVID TRAP,IDPH,-87.89703,41.96849,31549,UTC1140 31549,1,20-Jul-11,29,2011
Y11P08425,189394,COOK COUNTY HEALTH DEPT,TRP-12,Montrose & Oak Park Ave.,HARWOOD HEIGHTS,60656,Montrose & Oak Park Ave._HARWOOD HEIGHTS_60656,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,COOK COUNTY HEALTH DEPT|TRP-12|GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,21-Jul-11,Culex,PIPIENS/RESTUANS,UTC1156,GRAVID TRAP,IDPH,-87.83012,41.97563,245,UTC1156 245,1,20-Jul-11,29,2011
Y11P08928,189715,North Shore MAD,NSG27,3550 LAKE,SKOKIE,60076,3550 LAKE_SKOKIE_60076,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,North Shore MAD|NSG27|GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,27-Jul-11,Culex,PIPIENS,UTC1203,GRAVID TRAP,IDPH,-87.71772,42.04461,NS599,UTC1203 NS599,2,20-Jul-11,29,2011
Y11P08910,189709,North Shore MAD,NSG25,CENTENNIAL PARK,KENILWORTH,60043,CENTENNIAL PARK_KENILWORTH_60043,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,North Shore MAD|NSG25|GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,27-Jul-11,Culex,PIPIENS,UTC1226,GRAVID TRAP,IDPH,-87.716083,42.085583,NS593,UTC1226 NS593,2,20-Jul-11,29,2011
Y11P09054,189757,North Shore MAD,NSG5,4600 Block BRUMMEL,SKOKIE,60077,4600 Block BRUMMEL_SKOKIE_60077,COOK,SKOKIE HEALTH DEPT,GRAVID TRAP,North Shore MAD|NSG5|GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,27-Jul-11,Culex,PIPIENS,UTC1233,GRAVID TRAP,IDPH,-87.761766,42.097216,NS574,UTC1233 NS574,2,20-Jul-11,29,2011
Y11P06917,188491,DUPAGE COUNTY HEALTH DEPT,808,7036 DUPAGE DRIVE,WOODRIDGE,60517,7036 DUPAGE DRIVE_WOODRIDGE_60517,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,DUPAGE COUNTY HEALTH DEPT|808|GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,22-Jul-11,Culex,SP,UTC0946,GRAVID TRAP,IDPH,-88.061927,41.76032,S11126,UTC0946 S11126,1,21-Jul-11,29,2011
Y11P08994,189737,North Shore MAD,NSG23,NILES FPD - NORDICA & FARGO,NILES,60714,NILES FPD - NORDICA & FARGO_NILES_60714,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,North Shore MAD|NSG23|GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,27-Jul-11,Culex,PIPIENS,UTC1176,GRAVID TRAP,IDPH,-87.798462,42.01703,NS621,UTC1176 NS621,2,22-Jul-11,29,2011
Y11P08967,189728,North Shore MAD,NSG17,212 DEWEY,EVANSTON,60201,212 DEWEY_EVANSTON_60201,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,North Shore MAD|NSG17|GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,27-Jul-11,Culex,PIPIENS,UTC1181,GRAVID TRAP,IDPH,-87.696433,42.022067,NS612,UTC1181 NS612,2,22-Jul-11,29,2011
Y11P09030,189749,North Shore MAD,NSG28,9000 GROSS POINT ROAD,SKOKIE,60077,9000 GROSS POINT ROAD_SKOKIE_60077,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,North Shore MAD|NSG28|GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,27-Jul-11,Culex,PIPIENS,UTC1202,GRAVID TRAP,IDPH,-87.75368,42.0441,NS633,UTC1202 NS633,2,22-Jul-11,29,2011
Y11P08199,189286,Northwest MAD,NWEG3,812 ROPPOLO DRIVE,ELK GROVE VILLAGE,60007,812 ROPPOLO DRIVE_ELK GROVE VILLAGE_60007,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,Northwest MAD|NWEG3|GRAVID TRAP,45,Female,PCRWNV,POSITIVE,1,09-Aug-11,Culex,SPP,UTC1175,GRAVID TRAP,IDPH,-87.953531,42.01279,433,UTC1175 433,2,24-Jul-11,30,2011
Y11P08202,189287,Northwest MAD,NWEG3,812 ROPPOLO DRIVE,ELK GROVE VILLAGE,60007,812 ROPPOLO DRIVE_ELK GROVE VILLAGE_60007,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,Northwest MAD|NWEG3|GRAVID TRAP,32,Female,PCRWNV,POSITIVE,1,09-Aug-11,Culex,SPP,UTC1175,GRAVID TRAP,IDPH,-87.953531,42.01279,434,UTC1175 434,2,24-Jul-11,30,2011
Y11P08334,189331,Northwest MAD,NWPR2,8600 N. MILWAUKEE AVE.,NILES,60714,8600 N. MILWAUKEE AVE._NILES_60714,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,Northwest MAD|NWPR2|GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,09-Aug-11,Culex,SPP,UTC1189,GRAVID TRAP,IDPH,-87.831669,42.033113,413,UTC1189 413,2,24-Jul-11,30,2011
Y11P08364,189341,Northwest MAD,NWBG1,739 Weidner Rd,BUFFALO GROVE,60089,739 Weidner Rd_BUFFALO GROVE_60089,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,Northwest MAD|NWBG1|GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,09-Aug-11,Culex,SPP,UTC1256,GRAVID TRAP,IDPH,-87.97649,42.14123,423,UTC1256 423,2,24-Jul-11,30,2011
Y11P08075,189197,South Cook MAD,15- ALSIP,5501 W 122ND STREET,ALSIP,60803,5501 W 122ND STREET_ALSIP_60803,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,South Cook MAD|15- ALSIP|GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,27-Jul-11,Culex,SPP,UTC0877,GRAVID TRAP,IDPH,-87.756167,41.67105,132,UTC0877 132,1,25-Jul-11,30,2011
Y11P09589,190273,COOK COUNTY HEALTH DEPT,55,2811 WENONAH,BERWYN,60402,2811 WENONAH_BERWYN_60402,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,COOK COUNTY HEALTH DEPT|55|GRAVID TRAP,42,Female,RAMP WNV,POSITIVE,1,26-Jul-11,Culex,PIPIENS/RESTUANS,UTC1010,GRAVID TRAP,IDPH,-87.799155,41.840728,307,UTC1010 307,1,25-Jul-11,30,2011
Y11P08229,189296,Northwest MAD,NWEG3,812 ROPPOLO DRIVE,ELK GROVE VILLAGE,60007,812 ROPPOLO DRIVE_ELK GROVE VILLAGE_60007,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,Northwest MAD|NWEG3|GRAVID TRAP,40,Female,PCRWNV,POSITIVE,1,09-Aug-11,Culex,SPP,UTC1175,GRAVID TRAP,IDPH,-87.953531,42.01279,443,UTC1175 443,2,25-Jul-11,30,2011
Y11P08235,189298,Northwest MAD,NWBG1,739 Weidner Rd,BUFFALO GROVE,60089,739 Weidner Rd_BUFFALO GROVE_60089,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,Northwest MAD|NWBG1|GRAVID TRAP,42,Female,PCRWNV,POSITIVE,1,09-Aug-11,Culex,SPP,UTC1256,GRAVID TRAP,IDPH,-87.97649,42.14123,445,UTC1256 445,2,25-Jul-11,30,2011
Y11P10924,191051,CHICAGO HEALTH DEPT,T090,11900 S ASHLAND,CHICAGO,60643,11900 S ASHLAND_CHICAGO_60643,COOK,CHICAGO HEALTH DEPT,GRAVID TRAP,CHICAGO HEALTH DEPT|T090|GRAVID TRAP,8,Female,PCRWNV,POSITIVE,1,29-Jul-11,Culex,RESTUANS,UTC0894,GRAVID TRAP,IDPH,-87.66417,41.69978,31765,UTC0894 31765,1,26-Jul-11,30,2011
Y11P09381,190164,IDPH,IDPH104,709 CONCORD LANE,LOMBARD,60148,709 CONCORD LANE_LOMBARD_60148,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,IDPH|IDPH104|GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,01-Aug-11,Culex,PIPIENS/RESTUANS,UTC1044,GRAVID TRAP,IDPH,-87.989625,41.873251,364,UTC1044 364,1,26-Jul-11,30,2011
Y11P09385,190168,IDPH,IDPH104,709 CONCORD LANE,LOMBARD,60148,709 CONCORD LANE_LOMBARD_60148,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,IDPH|IDPH104|GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,01-Aug-11,Culex,PIPIENS/RESTUANS,UTC1044,GRAVID TRAP,IDPH,-87.989625,41.873251,368,UTC1044 368,1,26-Jul-11,30,2011
Y11P10862,191020,CHICAGO HEALTH DEPT,T031,500 S CNTRAL AVE,CHICAGO,60644,500 S CNTRAL AVE_CHICAGO_60644,COOK,CHICAGO HEALTH DEPT,GRAVID TRAP,CHICAGO HEALTH DEPT|T031|GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,29-Jul-11,Culex,PIPIENS/RESTUANS,UTC1045,GRAVID TRAP,IDPH,-87.764712,41.873768,31748,UTC1045 31748,1,26-Jul-11,30,2011
Y11P09422,190189,IDPH,IDPH 06,7401 WEST LAWRENCE AVE.,HARWOOD HEIGHTS,60706,7401 WEST LAWRENCE AVE._HARWOOD HEIGHTS_60706,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,IDPH|IDPH 06|GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,01-Aug-11,Culex,PIPIENS/RESTUANS,UTC1136,GRAVID TRAP,IDPH,-87.812131,41.967093,382,UTC1136 382,1,26-Jul-11,30,2011
Y11P09423,190190,IDPH,IDPH 06,7401 WEST LAWRENCE AVE.,HARWOOD HEIGHTS,60706,7401 WEST LAWRENCE AVE._HARWOOD HEIGHTS_60706,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,IDPH|IDPH 06|GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,01-Aug-11,Culex,PIPIENS/RESTUANS,UTC1136,GRAVID TRAP,IDPH,-87.812131,41.967093,383,UTC1136 383,1,26-Jul-11,30,2011
Y11P10619,190907,Northwest MAD,NWEG3,812 ROPPOLO DRIVE,ELK GROVE VILLAGE,60007,812 ROPPOLO DRIVE_ELK GROVE VILLAGE_60007,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,Northwest MAD|NWEG3|GRAVID TRAP,18,Female,PCRWNV,POSITIVE,1,09-Aug-11,Culex,SPP,UTC1175,GRAVID TRAP,IDPH,-87.953531,42.01279,466,UTC1175 466,2,26-Jul-11,30,2011
Y11P08292,189317,Northwest MAD,KIRIE,ELMHURST RD AND OAKTON ST,DES PLAINES,60016,ELMHURST RD AND OAKTON ST_DES PLAINES_60016,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,Northwest MAD|KIRIE|GRAVID TRAP,44,Female,PCRWNV,POSITIVE,1,09-Aug-11,Culex,SPP,UTC1178,GRAVID TRAP,IDPH,-87.937216,42.01915,464,UTC1178 464,2,26-Jul-11,30,2011
Y11P09250,190044,FOREST PRESERVE DISTRICT OF DUPAGE COUNTY,SAWN01,18 W 200 Elizabeth Drive,WOOD DALE,60191,18 W 200 Elizabeth Drive_WOOD DALE_60191,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,FOREST PRESERVE DISTRICT OF DUPAGE COUNTY|SAWN01|GRAVID TRAP,3,Female,RAMP WNV,POSITIVE,1,27-Jul-11,Culex,SP,UTC1133,GRAVID TRAP,IDPH,-87.97927,41.96472,148,UTC1133 148,1,27-Jul-11,30,2011
