UNIQUEKEY,OWNERID2,COLLECCITY,COLLECZIP,FIPSCOUNTY,TRAPTYPE,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,ISPOS,LOGITUDE,LATITUDE,GENUS,COLLECSAMPLEID,COLLECDATE,WEEK_NEW,COLLECYEAR,locationwk,yr_weeks
6  44  44PA5,4652,PLANO,60545,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.537599,41.662391,Culex,44PA5,6/23/2006,25,2006,465225,200625
6  44  44PA6,4652,PLANO,60545,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.537599,41.662391,Culex,44PA6,6/28/2006,26,2006,465226,200626
6  44  44PA7,4652,PLANO,60545,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.537599,41.662391,Culex,44PA7,6/30/2006,26,2006,465226,200626
6  44  44PA8,4652,PLANO,60545,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.537599,41.662391,Culex,44PA8,7/7/2006,27,2006,465227,200627
6  44  44PA9,4652,PLANO,60545,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.537599,41.662391,Culex,44PA9,7/12/2006,28,2006,465228,200628
6  44  44PA10,4652,PLANO,60545,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.537599,41.662391,Culex,44PA10,7/14/2006,28,2006,465228,200628
6  44  44PA11,4652,PLANO,60545,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.537599,41.662391,Culex,44PA11,7/19/2006,29,2006,465229,200629
6  44  44PA12,4652,PLANO,60545,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.537599,41.662391,Culex,44PA12,7/21/2006,29,2006,465229,200629
6  44  44PA13,4652,PLANO,60545,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.537599,41.662391,Culex,44PA13,7/25/2006,30,2006,465230,200630
6  44  44PA14,4652,PLANO,60545,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.537599,41.662391,Culex,44PA14,7/27/2006,30,2006,465230,200630
6  44  44PA15,4652,PLANO,60545,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.537599,41.662391,Culex,44PA15,8/2/2006,31,2006,465231,200631
6  42  133,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,40,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,133,6/1/2006,22,2006,166222,200622
6  42  134,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,12,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,134,6/5/2006,23,2006,166223,200623
6  42  135,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,15,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,135,6/7/2006,23,2006,166223,200623
6  42  136,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,19,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,136,6/9/2006,23,2006,166223,200623
6  42  137,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,30,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,137,6/10/2006,23,2006,166223,200623
6  42  138,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,18,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,138,6/14/2006,24,2006,166224,200624
6  42  1310,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,1310,6/19/2006,25,2006,166225,200625
6  42  1311,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,8,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,1311,6/21/2006,25,2006,166225,200625
6  42  1312,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,13,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,1312,6/23/2006,25,2006,166225,200625
6  42  1313,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,1313,6/27/2006,26,2006,166226,200626
6  42  1314,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,1314,6/29/2006,26,2006,166226,200626
6  42  1315,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,1315,7/7/2006,27,2006,166227,200627
6  42  1316,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,1316,7/10/2006,28,2006,166228,200628
6  42  1317,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,1317,7/12/2006,28,2006,166228,200628
6  42  1318,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,1318,7/14/2006,28,2006,166228,200628
6  42  1319,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,1319,7/18/2006,29,2006,166229,200629
6  42  1320,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,1320,7/21/2006,29,2006,166229,200629
6  42  1321,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,POSITIVE,1,-88.524898,42.095972,Culex,1321,7/25/2006,30,2006,166230,200630
6  42  1322,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,1322,7/28/2006,30,2006,166230,200630
6  42  1323,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,POSITIVE,1,-88.524898,42.095972,Culex,1323,7/30/2006,31,2006,166231,200631
6  42  1324,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,POSITIVE,1,-88.524898,42.095972,Culex,1324,8/2/2006,31,2006,166231,200631
6  42  1328,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,1328,8/15/2006,33,2006,166233,200633
6  42  1329,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,1329,8/18/2006,33,2006,166233,200633
6  42  1330,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,POSITIVE,1,-88.524898,42.095972,Culex,1330,8/22/2006,34,2006,166234,200634
6  42  1331,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,POSITIVE,1,-88.524898,42.095972,Culex,1331,8/24/2006,34,2006,166234,200634
6  42  1332,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,POSITIVE,1,-88.524898,42.095972,Culex,1332,8/29/2006,35,2006,166235,200635
6  42  1334,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,25,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,1334,9/5/2006,36,2006,166236,200636
6  42  1335,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,12,Female,VECWNV,POSITIVE,1,-88.524898,42.095972,Culex,1335,9/8/2006,36,2006,166236,200636
6  42  1336,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,10,Female,VECWNV,POSITIVE,1,-88.524898,42.095972,Culex,1336,9/12/2006,37,2006,166237,200637
6  42  1337,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,9,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,1337,9/14/2006,37,2006,166237,200637
6  42  1340,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,35,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,1340,9/26/2006,39,2006,166239,200639
6  42  1341,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,25,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,1341,9/28/2006,39,2006,166239,200639
6  42  1342,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,10,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,1342,10/3/2006,40,2006,166240,200640
6  42  1343,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,5,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,1343,10/5/2006,40,2006,166240,200640
6  42  1344,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,9,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,1344,10/10/2006,41,2006,166241,200641
6  59  306,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,48,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,306,6/6/2006,23,2006,297823,200623
6  59  1206,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,16,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,1206,6/9/2006,23,2006,297823,200623
6  59  2106,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,9,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,2106,6/14/2006,24,2006,297824,200624
6  59  3306,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,14,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,3306,6/16/2006,24,2006,297824,200624
6  59  4506,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,8,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,4506,6/16/2006,24,2006,297824,200624
6  59  4806,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,13,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,4806,6/21/2006,25,2006,297825,200625
6  59  84006,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,44,Female,VECWNV,POSITIVE,1,-88.482176,42.253084,Culex,84006,8/7/2006,32,2006,297832,200632
6  44  44YB1,4649,YORKVILLE,60560,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.451703,41.647711,Culex,44YB1,5/30/2006,22,2006,464922,200622
6  44  44YB2,4649,YORKVILLE,60560,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.451703,41.647711,Culex,44YB2,6/7/2006,23,2006,464923,200623
6  44  44YB3,4649,YORKVILLE,60560,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.451703,41.647711,Culex,44YB3,6/9/2006,23,2006,464923,200623
6  44  44YB4,4649,YORKVILLE,60560,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.451703,41.647711,Culex,44YB4,6/16/2006,24,2006,464924,200624
6  44  44YB5,4649,YORKVILLE,60560,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.451703,41.647711,Culex,44YB5,6/23/2006,25,2006,464925,200625
6  44  44YB6,4649,YORKVILLE,60560,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.451703,41.647711,Culex,44YB6,6/28/2006,26,2006,464926,200626
6  44  44YB7,4649,YORKVILLE,60560,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.451703,41.647711,Culex,44YB7,6/30/2006,26,2006,464926,200626
6  44  44YB8,4649,YORKVILLE,60560,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.451703,41.647711,Culex,44YB8,7/7/2006,27,2006,464927,200627
6  44  44YB9,4649,YORKVILLE,60560,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.451703,41.647711,Culex,44YB9,7/12/2006,28,2006,464928,200628
6  44  44YB10,4649,YORKVILLE,60560,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.451703,41.647711,Culex,44YB10,7/14/2006,28,2006,464928,200628
6  44  44YB11,4649,YORKVILLE,60560,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.451703,41.647711,Culex,44YB11,7/19/2006,29,2006,464929,200629
6  59  206,4862,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,45,Female,VECWNV,NEGATIVE,0,-88.443138,42.327332,Culex,206,6/6/2006,23,2006,486223,200623
6  59  4206,4862,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,10,Female,VECWNV,NEGATIVE,0,-88.443138,42.327332,Culex,4206,6/16/2006,24,2006,486224,200624
6  59  4906,4862,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,6,Female,VECWNV,NEGATIVE,0,-88.443138,42.327332,Culex,4906,6/21/2006,25,2006,486225,200625
6  42  42,1656,BATAVIA,60510,KANE,GRAVID TRAP,15,Female,VECWNV,NEGATIVE,0,-88.425802,41.785289,Culex,42,6/1/2006,22,2006,165622,200622
6  42  44,1656,BATAVIA,60510,KANE,GRAVID TRAP,35,Female,VECWNV,NEGATIVE,0,-88.425802,41.785289,Culex,44,6/5/2006,23,2006,165623,200623
6  42  46,1656,BATAVIA,60510,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.425802,41.785289,Culex,46,6/9/2006,23,2006,165623,200623
6  42  47,1656,BATAVIA,60510,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.425802,41.785289,Culex,47,6/10/2006,23,2006,165623,200623
6  42  48,1656,BATAVIA,60510,KANE,GRAVID TRAP,19,Female,VECWNV,NEGATIVE,0,-88.425802,41.785289,Culex,48,6/14/2006,24,2006,165624,200624
6  42  49,1656,BATAVIA,60510,KANE,GRAVID TRAP,29,Female,VECWNV,NEGATIVE,0,-88.425802,41.785289,Culex,49,6/16/2006,24,2006,165624,200624
6  42  410,1656,BATAVIA,60510,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.425802,41.785289,Culex,410,6/19/2006,25,2006,165625,200625
6  42  411,1656,BATAVIA,60510,KANE,GRAVID TRAP,22,Female,VECWNV,NEGATIVE,0,-88.425802,41.785289,Culex,411,6/21/2006,25,2006,165625,200625
6  42  412,1656,BATAVIA,60510,KANE,GRAVID TRAP,10,Female,VECWNV,NEGATIVE,0,-88.425802,41.785289,Culex,412,6/23/2006,25,2006,165625,200625
6  42  413,1656,BATAVIA,60510,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.425802,41.785289,Culex,413,6/27/2006,26,2006,165626,200626
6  42  414,1656,BATAVIA,60510,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.425802,41.785289,Culex,414,6/29/2006,26,2006,165626,200626
6  42  415,1656,BATAVIA,60510,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.425802,41.785289,Culex,415,7/7/2006,27,2006,165627,200627
6  42  416,1656,BATAVIA,60510,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.425802,41.785289,Culex,416,7/10/2006,28,2006,165628,200628
6  42  417,1656,BATAVIA,60510,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.425802,41.785289,Culex,417,7/12/2006,28,2006,165628,200628
6  42  418,1656,BATAVIA,60510,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.425802,41.785289,Culex,418,7/14/2006,28,2006,165628,200628
6  42  419,1656,BATAVIA,60510,KANE,GRAVID TRAP,22,Female,VECWNV,NEGATIVE,0,-88.425802,41.785289,Culex,419,7/18/2006,29,2006,165629,200629
6  42  420,1656,BATAVIA,60510,KANE,GRAVID TRAP,37,Female,VECWNV,POSITIVE,1,-88.425802,41.785289,Culex,420,7/21/2006,29,2006,165629,200629
6  42  421,1656,BATAVIA,60510,KANE,GRAVID TRAP,50,Female,VECWNV,POSITIVE,1,-88.425802,41.785289,Culex,421,7/25/2006,30,2006,165630,200630
6  42  422,1656,BATAVIA,60510,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.425802,41.785289,Culex,422,7/28/2006,30,2006,165630,200630
6  42  423,1656,BATAVIA,60510,KANE,GRAVID TRAP,50,Female,VECWNV,POSITIVE,1,-88.425802,41.785289,Culex,423,7/30/2006,31,2006,165631,200631
6  42  424,1656,BATAVIA,60510,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.425802,41.785289,Culex,424,8/2/2006,31,2006,165631,200631
6  42  425,1656,BATAVIA,60510,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.425802,41.785289,Culex,425,8/7/2006,32,2006,165632,200632
6  42  427,1656,BATAVIA,60510,KANE,GRAVID TRAP,50,Female,VECWNV,POSITIVE,1,-88.425802,41.785289,Culex,427,8/10/2006,32,2006,165632,200632
6  42  428,1656,BATAVIA,60510,KANE,GRAVID TRAP,50,Female,VECWNV,POSITIVE,1,-88.425802,41.785289,Culex,428,8/15/2006,33,2006,165633,200633
6  42  429,1656,BATAVIA,60510,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.425802,41.785289,Culex,429,8/18/2006,33,2006,165633,200633
6  42  430,1656,BATAVIA,60510,KANE,GRAVID TRAP,50,Female,VECWNV,POSITIVE,1,-88.425802,41.785289,Culex,430,8/22/2006,34,2006,165634,200634
6  42  431,1656,BATAVIA,60510,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.425802,41.785289,Culex,431,8/24/2006,34,2006,165634,200634
6  42  432,1656,BATAVIA,60510,KANE,GRAVID TRAP,15,Female,VECWNV,NEGATIVE,0,-88.425802,41.785289,Culex,432,8/29/2006,35,2006,165635,200635
6  42  434,1656,BATAVIA,60510,KANE,GRAVID TRAP,20,Female,VECWNV,NEGATIVE,0,-88.425802,41.785289,Culex,434,9/5/2006,36,2006,165636,200636
6  42  437,1656,BATAVIA,60510,KANE,GRAVID TRAP,2,Female,VECWNV,NEGATIVE,0,-88.425802,41.785289,Culex,437,9/14/2006,37,2006,165637,200637
6  42  440,1656,BATAVIA,60510,KANE,GRAVID TRAP,4,Female,VECWNV,NEGATIVE,0,-88.425802,41.785289,Culex,440,9/26/2006,39,2006,165639,200639
6  42  441,1656,BATAVIA,60510,KANE,GRAVID TRAP,5,Female,VECWNV,NEGATIVE,0,-88.425802,41.785289,Culex,441,9/27/2006,39,2006,165639,200639
6  42  443,1656,BATAVIA,60510,KANE,GRAVID TRAP,3,Female,VECWNV,NEGATIVE,0,-88.425802,41.785289,Culex,443,10/5/2006,40,2006,165640,200640
6  44  44YA1,4648,BRISTOL,60512,KENDALL,GRAVID TRAP,20,Female,VECWNV,NEGATIVE,0,-88.425556,41.68557,Culex,44YA1,5/30/2006,22,2006,464822,200622
6  44  44YA2,4648,BRISTOL,60512,KENDALL,GRAVID TRAP,13,Female,VECWNV,NEGATIVE,0,-88.425556,41.68557,Culex,44YA2,6/1/2006,22,2006,464822,200622
6  44  44YA3,4648,BRISTOL,60512,KENDALL,GRAVID TRAP,12,Female,VECWNV,NEGATIVE,0,-88.425556,41.68557,Culex,44YA3,6/7/2006,23,2006,464823,200623
6  44  44YA4,4648,BRISTOL,60512,KENDALL,GRAVID TRAP,10,Female,VECWNV,NEGATIVE,0,-88.425556,41.68557,Culex,44YA4,6/9/2006,23,2006,464823,200623
6  44  44YA5,4648,BRISTOL,60512,KENDALL,GRAVID TRAP,27,Female,VECWNV,NEGATIVE,0,-88.425556,41.68557,Culex,44YA5,6/16/2006,24,2006,464824,200624
6  44  44YA6,4648,BRISTOL,60512,KENDALL,GRAVID TRAP,20,Female,VECWNV,NEGATIVE,0,-88.425556,41.68557,Culex,44YA6,6/23/2006,25,2006,464825,200625
6  44  44YA7,4648,BRISTOL,60512,KENDALL,GRAVID TRAP,37,Female,VECWNV,NEGATIVE,0,-88.425556,41.68557,Culex,44YA7,6/28/2006,26,2006,464826,200626
6  44  44YA8,4648,BRISTOL,60512,KENDALL,GRAVID TRAP,24,Female,VECWNV,NEGATIVE,0,-88.425556,41.68557,Culex,44YA8,6/30/2006,26,2006,464826,200626
6  44  44YA9,4648,BRISTOL,60512,KENDALL,GRAVID TRAP,16,Female,VECWNV,NEGATIVE,0,-88.425556,41.68557,Culex,44YA9,7/7/2006,27,2006,464827,200627
6  44  44YA10,4648,BRISTOL,60512,KENDALL,GRAVID TRAP,10,Female,VECWNV,NEGATIVE,0,-88.425556,41.68557,Culex,44YA10,7/12/2006,28,2006,464828,200628
6  44  44YA11,4648,BRISTOL,60512,KENDALL,GRAVID TRAP,8,Female,VECWNV,NEGATIVE,0,-88.425556,41.68557,Culex,44YA11,7/14/2006,28,2006,464828,200628
6  44  44YA12,4648,BRISTOL,60512,KENDALL,GRAVID TRAP,24,Female,VECWNV,NEGATIVE,0,-88.425556,41.68557,Culex,44YA12,7/19/2006,29,2006,464829,200629
6  0   MC001,3118,CRYSTAL LAKE,60014,MCHENRY,GRAVID TRAP,4,Female,VECWNV,NEGATIVE,0,-88.398294,42.232514,Culex,MC001,5/24/2006,21,2006,311821,200621
