UNIQUEKEY,OWNERID2,COLLECCITY,COLLECZIP,FIPSCOUNTY,TRAPTYPE,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,ISPOS,LOGITUDE,LATITUDE,GENUS,COLLECSAMPLEID,COLLECDATE,WEEK_NEW,COLLECYEAR,locationwk,yr_weeks
5  44  AQUARIUS11,2996,NEWARK,60541,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS11,7/13/2005,28,2005,299628,200528
5  44  AQUARIUS12,2996,NEWARK,60541,KENDALL,GRAVID TRAP,30,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS12,7/15/2005,28,2005,299628,200528
5  44  AQUARIUS13,2996,NEWARK,60541,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS13,7/20/2005,29,2005,299629,200529
5  44  AQUARIUS14,2996,NEWARK,60541,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS14,7/22/2005,29,2005,299629,200529
5  44  TAURUS14,2996,NEWARK,60541,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,TAURUS14,7/22/2005,29,2005,299629,200529
5  44  AQUARIUS15,2996,NEWARK,60541,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS15,7/29/2005,30,2005,299630,200530
5  44  AQUARIUS16,2996,NEWARK,60541,KENDALL,GRAVID TRAP,20,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS16,8/3/2005,31,2005,299631,200531
5  44  AQUARIUS17,2996,NEWARK,60541,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS17,8/5/2005,31,2005,299631,200531
5  44  AQUARIUS18,2996,NEWARK,60541,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS18,8/10/2005,32,2005,299632,200532
5  44  AQUARIUS19,2996,NEWARK,60541,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS19,8/12/2005,32,2005,299632,200532
5  44  AQUARIUS20,2996,NEWARK,60541,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS20,8/17/2005,33,2005,299633,200533
5  44  AQUARIUS21,2996,NEWARK,60541,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS21,8/19/2005,33,2005,299633,200533
5  44  AQUARIUS22,2996,NEWARK,60541,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS22,8/24/2005,34,2005,299634,200534
5  44  AQUARIUS23,2996,NEWARK,60541,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS23,8/26/2005,34,2005,299634,200534
5  44  AQUARIUS24,2996,NEWARK,60541,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS24,8/31/2005,35,2005,299635,200535
5  44  AQUARIUS25,2996,NEWARK,60541,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS25,9/2/2005,35,2005,299635,200535
5  44  AQUARIUS26,2996,NEWARK,60541,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS26,9/14/2005,37,2005,299637,200537
5  44  AQUARIUS27,2996,NEWARK,60541,KENDALL,GRAVID TRAP,26,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS27,9/16/2005,37,2005,299637,200537
5  44  AQUARIUS28,2996,NEWARK,60541,KENDALL,GRAVID TRAP,35,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS28,9/21/2005,38,2005,299638,200538
5  44  AQUARIUS29,2996,NEWARK,60541,KENDALL,GRAVID TRAP,10,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS29,9/23/2005,38,2005,299638,200538
5  44  AQUARIUS30,2996,NEWARK,60541,KENDALL,GRAVID TRAP,30,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS30,9/28/2005,39,2005,299639,200539
5  44  CAPRICOR31,2996,NEWARK,60541,KENDALL,GRAVID TRAP,15,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,CAPRICOR31,9/30/2005,39,2005,299639,200539
5  44  AQUARIUS32,2996,NEWARK,60541,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.580606,41.541782,Culex,AQUARIUS32,10/5/2005,40,2005,299640,200540
5  44  CAPRICORN,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,4,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICORN,5/31/2005,22,2005,299522,200522
5  44  CAPRICORN2,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,10,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICORN2,6/3/2005,22,2005,299522,200522
5  44  CAPRICORN3,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICORN3,6/8/2005,23,2005,299523,200523
5  44  CAPRICORN4,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,10,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICORN4,6/15/2005,24,2005,299524,200524
5  44  CAPRICORN5,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,18,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICORN5,6/17/2005,24,2005,299524,200524
5  44  CAPRICORN6,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,17,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICORN6,6/22/2005,25,2005,299525,200525
5  44  CAPRICORN7,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,21,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICORN7,6/24/2005,25,2005,299525,200525
5  44  CAPRICORN8,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,20,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICORN8,6/29/2005,26,2005,299526,200526
5  44  CAPRICORN9,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,14,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICORN9,7/1/2005,26,2005,299526,200526
5  44  CAPRICOR10,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICOR10,7/11/2005,28,2005,299528,200528
5  44  CAPRICOR11,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICOR11,7/13/2005,28,2005,299528,200528
5  44  CAPRICOR12,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICOR12,7/15/2005,28,2005,299528,200528
5  44  CAPRICOR13,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICOR13,7/20/2005,29,2005,299529,200529
5  44  CAPRICOR14,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICOR14,7/22/2005,29,2005,299529,200529
5  44  CAPRICOR15,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICOR15,7/29/2005,30,2005,299530,200530
5  44  CAPRICOR16,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,25,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICOR16,8/3/2005,31,2005,299531,200531
5  44  CAPRICOR17,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,42,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICOR17,8/5/2005,31,2005,299531,200531
5  44  CAPRICOR18,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICOR18,8/10/2005,32,2005,299532,200532
5  44  CAPRICOR19,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICOR19,8/12/2005,32,2005,299532,200532
5  44  CAPRICOR20,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICOR20,8/17/2005,33,2005,299533,200533
5  44  CAPRICOR21,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICOR21,8/19/2005,33,2005,299533,200533
5  44  CAPRICOR22,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,15,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICOR22,8/24/2005,34,2005,299534,200534
5  44  CAPRICOR23,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICOR23,8/26/2005,34,2005,299534,200534
5  44  CAPRICOR24,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,36,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICOR24,8/31/2005,35,2005,299535,200535
5  44  CAPRICOR25,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICOR25,9/2/2005,35,2005,299535,200535
5  44  CAPRICOR26,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,30,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICOR26,9/14/2005,37,2005,299537,200537
5  44  CAPRICOR28,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,21,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICOR28,9/21/2005,38,2005,299538,200538
5  44  CAPRICOR29,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,12,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICOR29,9/23/2005,38,2005,299538,200538
5  44  CAPRICOR30,2995,MILLBROOK,60536,KENDALL,GRAVID TRAP,10,Female,VECWNV,NEGATIVE,0,-88.551021,41.599523,Culex,CAPRICOR30,9/28/2005,39,2005,299539,200539
5  42  M1384,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,M1384,5/20/2005,20,2005,166220,200520
5  42  M1386,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,M1386,5/31/2005,22,2005,166222,200522
5  42  M1387,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,M1387,6/7/2005,23,2005,166223,200523
5  42  7,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-88.524898,42.095972,Culex,7,6/8/2005,23,2005,166223,200523
5  42  M1388,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,M1388,6/8/2005,23,2005,166223,200523
5  42  M1389,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,M1389,6/10/2005,23,2005,166223,200523
5  42  M1390,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,-88.524898,42.095972,Culex,M1390,6/14/2005,24,2005,166224,200524
5  42  M1391,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,M1391,6/17/2005,24,2005,166224,200524
5  42  M1392,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,M1392,6/21/2005,25,2005,166225,200525
5  42  M1393,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,M1393,6/23/2005,25,2005,166225,200525
5  42  M1394,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,M1394,6/26/2005,26,2005,166226,200526
5  42  M1395,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,M1395,6/29/2005,26,2005,166226,200526
5  42  M1397,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,M1397,7/5/2005,27,2005,166227,200527
5  42  M1398,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,M1398,7/7/2005,27,2005,166227,200527
5  42  M1399,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,M1399,7/11/2005,28,2005,166228,200528
5  42  M13100,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,M13100,7/15/2005,28,2005,166228,200528
5  42  M13101,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,M13101,7/15/2005,28,2005,166228,200528
5  42  M13102,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,M13102,7/18/2005,29,2005,166229,200529
5  42  M13103,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,POSITIVE,1,-88.524898,42.095972,Culex,M13103,7/21/2005,29,2005,166229,200529
5  42  M13104,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,M13104,7/26/2005,30,2005,166230,200530
5  42  M13105,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,M13105,8/1/2005,31,2005,166231,200531
5  42  M13106,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,M13106,8/4/2005,31,2005,166231,200531
5  42  M13107,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,M13107,8/9/2005,32,2005,166232,200532
5  42  M13108,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,M13108,8/11/2005,32,2005,166232,200532
5  42  M13110,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,POSITIVE,1,-88.524898,42.095972,Culex,M13110,8/15/2005,33,2005,166233,200533
5  42  M13109,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,M13109,8/16/2005,33,2005,166233,200533
5  42  M13111,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,M13111,8/17/2005,33,2005,166233,200533
5  42  M13113,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,M13113,8/19/2005,33,2005,166233,200533
5  42  M13114,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,M13114,8/24/2005,34,2005,166234,200534
5  42  M13115,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,M13115,8/26/2005,34,2005,166234,200534
5  42  M13116,1662,HAMPSHIRE,60140,KANE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.524898,42.095972,Culex,M13116,9/1/2005,35,2005,166235,200535
5  59  01K,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,21,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,01K,5/26/2005,21,2005,297821,200521
5  59  02E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,31,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,02E,6/2/2005,22,2005,297822,200522
5  59  03E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,27,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,03E,6/6/2005,23,2005,297823,200523
5  59  04E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,22,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,04E,6/9/2005,23,2005,297823,200523
5  59  05E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,37,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,05E,6/13/2005,24,2005,297824,200524
5  59  06E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,06E,6/17/2005,24,2005,297824,200524
5  59  07E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,27,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,07E,6/20/2005,25,2005,297825,200525
5  59  08E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,41,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,08E,6/22/2005,25,2005,297825,200525
5  59  09E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,20,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,09E,6/27/2005,26,2005,297826,200526
5  59  10E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,40,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,10E,7/5/2005,27,2005,297827,200527
5  59  11E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,11E,7/6/2005,27,2005,297827,200527
5  59  12E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,43,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,12E,7/6/2005,27,2005,297827,200527
5  59  13E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,13E,7/11/2005,28,2005,297828,200528
5  59  14E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,20,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,14E,7/13/2005,28,2005,297828,200528
5  59  15E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,25,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,15E,7/25/2005,30,2005,297830,200530
5  59  16E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,33,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,16E,8/1/2005,31,2005,297831,200531
5  59  22E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,7,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,22E,8/26/2005,34,2005,297834,200534
5  59  21E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,22,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,21E,8/30/2005,35,2005,297835,200535
5  59  23E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,24,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,23E,9/9/2005,36,2005,297836,200536
5  59  24E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,24E,9/12/2005,37,2005,297837,200537
5  59  25E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,25E,9/12/2005,37,2005,297837,200537
5  59  26E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,26E,9/15/2005,37,2005,297837,200537
5  59  28E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,18,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,28E,9/15/2005,37,2005,297837,200537
5  59  29E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,50,Female,VECWNV,POSITIVE,1,-88.482176,42.253084,Culex,29E,9/20/2005,38,2005,297838,200538
5  59  31E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,30,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,31E,9/23/2005,38,2005,297838,200538
5  59  32E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,28,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,32E,9/27/2005,39,2005,297839,200539
5  59  33E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,34,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,33E,10/4/2005,40,2005,297840,200540
5  59  34E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,14,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,34E,10/7/2005,40,2005,297840,200540
5  59  35E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,33,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,35E,10/12/2005,41,2005,297841,200541
5  59  36E,2978,WOODSTOCK,60098,MCHENRY,GRAVID TRAP,30,Female,VECWNV,NEGATIVE,0,-88.482176,42.253084,Culex,36E,10/19/2005,42,2005,297842,200542
5  44  PISCES,2997,YORKVILLE,60560,KENDALL,GRAVID TRAP,15,Female,VECWNV,NEGATIVE,0,-88.47241,41.60044,Culex,PISCES,5/31/2005,22,2005,299722,200522
5  44  PISCES2,2997,YORKVILLE,60560,KENDALL,GRAVID TRAP,5,Female,VECWNV,NEGATIVE,0,-88.47241,41.60044,Culex,PISCES2,6/3/2005,22,2005,299722,200522
5  44  PISCES3,2997,YORKVILLE,60560,KENDALL,GRAVID TRAP,12,Female,VECWNV,NEGATIVE,0,-88.47241,41.60044,Culex,PISCES3,6/8/2005,23,2005,299723,200523
5  44  PISCES5,2997,YORKVILLE,60560,KENDALL,GRAVID TRAP,5,Female,VECWNV,NEGATIVE,0,-88.47241,41.60044,Culex,PISCES5,6/17/2005,24,2005,299724,200524
5  44  PISCES6,2997,YORKVILLE,60560,KENDALL,GRAVID TRAP,9,Female,VECWNV,NEGATIVE,0,-88.47241,41.60044,Culex,PISCES6,6/22/2005,25,2005,299725,200525
5  44  PISCES7,2997,YORKVILLE,60560,KENDALL,GRAVID TRAP,20,Female,VECWNV,NEGATIVE,0,-88.47241,41.60044,Culex,PISCES7,6/24/2005,25,2005,299725,200525
5  44  PISCES8,2997,YORKVILLE,60560,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.47241,41.60044,Culex,PISCES8,6/29/2005,26,2005,299726,200526
5  44  PISCES9,2997,YORKVILLE,60560,KENDALL,GRAVID TRAP,25,Female,VECWNV,NEGATIVE,0,-88.47241,41.60044,Culex,PISCES9,7/1/2005,26,2005,299726,200526
5  44  PISCES10,2997,YORKVILLE,60560,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.47241,41.60044,Culex,PISCES10,7/11/2005,28,2005,299728,200528
5  44  PISCES11,2997,YORKVILLE,60560,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.47241,41.60044,Culex,PISCES11,7/13/2005,28,2005,299728,200528
5  44  PISCES12,2997,YORKVILLE,60560,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.47241,41.60044,Culex,PISCES12,7/15/2005,28,2005,299728,200528
5  44  PISCES13,2997,YORKVILLE,60560,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.47241,41.60044,Culex,PISCES13,7/20/2005,29,2005,299729,200529
5  44  PISCES14,2997,YORKVILLE,60560,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.47241,41.60044,Culex,PISCES14,7/22/2005,29,2005,299729,200529
