TID,OBJECTID,ORGANIZATION,LOCATEID,COLLECADDRES,COLLECCITY,COLLECZIP,COMP_ADDR,FIPSCOUNTY,JURISDNAME,TRAPTYPE,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,ISPOS,TESTDATE,GENUS,SPECIES,U_Trap2,LL_Source,LOGITUDE,LATITUDE,LL_Source0,COLLECSAMPLEID,COLLECDATE,WEEK_NEW,U_id2,Numtests
Y12P00485,199457,CITY OF NAPERVILLE,G8,731 S. WEST ST.,NAPERVILLE,60540,731 S. WEST ST._NAPERVILLE_60540,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,14,Female,RAMP WNV,NEGATIVE,0,15-May-12,Culex,SP,UTR0783,GISSA,-88.158407,41.765245,IDPH,035,15-Apr-12,16,UTR0783 035,1
Y12P00226,199257,CITY OF NAPERVILLE,G8,731 S. WEST ST.,NAPERVILLE,60540,731 S. WEST ST._NAPERVILLE_60540,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,17-Apr-12,Culex,SP,UTR0783,GISSA,-88.158407,41.765245,IDPH,007,17-Apr-12,16,UTR0783 007,1
Y12P00227,199258,CITY OF NAPERVILLE,G9,1212 S. WASHINGTON ST.,NAPERVILLE,60540,1212 S. WASHINGTON ST._NAPERVILLE_60540,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,23,Female,RAMP WNV,NEGATIVE,0,17-Apr-12,Culex,SP,UTR0775,GISSA,-88.133606,41.752479,IDPH,008,17-Apr-12,16,UTR0775 008,1
Y12P11412,208492,COOK COUNTY HEALTH DEPT,8,1421 MILWAUKEE,GLENVIEW,60025,1421 MILWAUKEE_GLENVIEW_60025,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,3,Female,RAMP WNV,NEGATIVE,0,27-Apr-12,Culex,SP,UTR1024,GISSA,-87.864734,42.081525,IDPH,15,26-Apr-12,17,UTR1024 15,1
Y12P11408,208488,COOK COUNTY HEALTH DEPT,21,15405 KENTON AVE,OAK FOREST,60452,15405 KENTON AVE_OAK FOREST_60452,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,10,Female,RAMP WNV,NEGATIVE,0,27-Apr-12,Culex,SP,UTR0706,GISSA,-87.731827,41.612517,IDPH,11,23-Apr-12,17,UTR0706 11,1
Y12P11409,208489,COOK COUNTY HEALTH DEPT,30,7921 W. 101ST STREET,PALOS HILLS,60465,7921 W. 101ST STREET_PALOS HILLS_60465,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,10,Female,RAMP WNV,NEGATIVE,0,27-Apr-12,Culex,SP,UTR0745,GISSA,-87.815516,41.707639,IDPH,12,23-Apr-12,17,UTR0745 12,1
Y12P11402,208482,COOK COUNTY HEALTH DEPT,30,7921 W. 101ST STREET,PALOS HILLS,60465,7921 W. 101ST STREET_PALOS HILLS_60465,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,8,Female,RAMP WNV,NEGATIVE,0,27-Apr-12,Culex,SP,UTR0745,GISSA,-87.815516,41.707639,IDPH,5,27-Apr-12,17,UTR0745 5,1
Y12P11411,208491,COOK COUNTY HEALTH DEPT,36,2790 BROOK DALE,NORTHBROOK,60062,2790 BROOK DALE_NORTHBROOK_60062,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,20,Female,RAMP WNV,NEGATIVE,0,27-Apr-12,Culex,SP,UTR1037,GISSA,-87.859811,42.102778,IDPH,14,26-Apr-12,17,UTR1037 14,1
Y12P11413,208493,COOK COUNTY HEALTH DEPT,38,4303 WESTVIEW,NORTHBROOK,60062,4303 WESTVIEW_NORTHBROOK_60062,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,27-Apr-12,Culex,SP,UTR1027,GISSA,-87.863114,42.090746,IDPH,16,26-Apr-12,17,UTR1027 16,1
Y12P11410,208490,COOK COUNTY HEALTH DEPT,50,3913 HARVEST LANE,GLENVIEW,60025,3913 HARVEST LANE_GLENVIEW_60025,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,27-Apr-12,Culex,SP,UTR1034,GISSA,-87.852019,42.09763,IDPH,13,26-Apr-12,17,UTR1034 13,1
Y12P11407,208487,COOK COUNTY HEALTH DEPT,55,2811 WENONAH,BERWYN,60402,2811 WENONAH_BERWYN_60402,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,10,Female,RAMP WNV,NEGATIVE,0,27-Apr-12,Culex,SP,UTR0843,GISSA,-87.799155,41.840728,IDPH,10,23-Apr-12,17,UTR0843 10,1
Y12P00450,199426,CITY OF NAPERVILLE,G1,NORTH AURORA RD. AND GENESEE,NAPERVILLE,60563,NORTH AURORA RD. AND GENESEE_NAPERVILLE_60563,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,16,Female,RAMP WNV,NEGATIVE,0,24-Apr-12,Culex,SP,UTR0804,GISSA,-88.22075,41.78144,IDPH,011,24-Apr-12,17,UTR0804 011,1
Y12P00453,199429,CITY OF NAPERVILLE,G10,1152 BLUE LARKSPUR LN.,NAPERVILLE,60540,1152 BLUE LARKSPUR LN._NAPERVILLE_60540,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,16,Female,RAMP WNV,NEGATIVE,0,24-Apr-12,Culex,SP,UTR0779,GISSA,-88.126407,41.757469,IDPH,014,24-Apr-12,17,UTR0779 014,1
Y12P00454,199430,CITY OF NAPERVILLE,G11*,MARSHALL CT.,NAPERVILLE,60565,MARSHALL CT._NAPERVILLE_60565,WILL,WILL COUNTY HEALTH DEPT,GRAVID TRAP,11,Female,RAMP WNV,NEGATIVE,0,24-Apr-12,Culex,SP,UTR0763,IDPH,-88.12711,41.73218,IDPH,015,24-Apr-12,17,UTR0763 015,1
Y12P00451,199427,CITY OF NAPERVILLE,G4,25W670 PLANK RD.,NAPERVILLE,60563,25W670 PLANK RD._NAPERVILLE_60563,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,23,Female,RAMP WNV,NEGATIVE,0,24-Apr-12,Culex,SP,UTR0809,GISSA,-88.124169,41.787577,IDPH,012,24-Apr-12,17,UTR0809 012,1
Y12P00452,199428,CITY OF NAPERVILLE,G8,731 S. WEST ST.,NAPERVILLE,60540,731 S. WEST ST._NAPERVILLE_60540,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,15,Female,RAMP WNV,NEGATIVE,0,24-Apr-12,Culex,SP,UTR0783,GISSA,-88.158407,41.765245,IDPH,013,24-Apr-12,17,UTR0783 013,1
Y12P00266,199300,IDPH,IDPH 101,5348 STONY CREEK DRIVE,OAK LAWN,60453,5348 STONY CREEK DRIVE_OAK LAWN_60453,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,02-May-12,Culex,PIPIENS/RESTUANS,UTR0737,GISSA,-87.752938,41.699163,IDPH,012,26-Apr-12,17,UTR0737 012,1
Y12P00267,199301,IDPH,IDPH 101,5348 STONY CREEK DRIVE,OAK LAWN,60453,5348 STONY CREEK DRIVE_OAK LAWN_60453,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,02-May-12,Culex,PIPIENS/RESTUANS,UTR0737,GISSA,-87.752938,41.699163,IDPH,013,26-Apr-12,17,UTR0737 013,1
Y12P00278,199312,IDPH,IDPH 111,15524 130TH PLACE,LEMONT,60439,15524 130TH PLACE_LEMONT_60439,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,02-May-12,Culex,PIPIENS/RESTUANS,UTR0714,GISSA,-87.997908,41.650382,IDPH,014,24-Apr-12,17,UTR0714 014,1
Y12P00279,199313,IDPH,IDPH 111,15524 130TH PLACE,LEMONT,60439,15524 130TH PLACE_LEMONT_60439,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,02-May-12,Culex,PIPIENS/RESTUANS,UTR0714,GISSA,-87.997908,41.650382,IDPH,015,24-Apr-12,17,UTR0714 015,1
Y12P00280,199314,IDPH,IDPH 111,15524 130TH PLACE,LEMONT,60439,15524 130TH PLACE_LEMONT_60439,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,02-May-12,Culex,PIPIENS/RESTUANS,UTR0714,GISSA,-87.997908,41.650382,IDPH,016,24-Apr-12,17,UTR0714 016,1
Y12P00242,199277,IDPH,KENDALL03,675 ROUTE 30,OSWEGO,60543,675 ROUTE 30_OSWEGO_60543,KENDALL,KENDALL COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,02-May-12,Culex,PIPIENS/RESTUANS,UTR0751,GISSA,-88.278741,41.713731,IDPH,004,24-Apr-12,17,UTR0751 004,1
Y12P00243,199278,IDPH,KENDALL03,675 ROUTE 30,OSWEGO,60543,675 ROUTE 30_OSWEGO_60543,KENDALL,KENDALL COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,02-May-12,Culex,PIPIENS/RESTUANS,UTR0751,GISSA,-88.278741,41.713731,IDPH,005,24-Apr-12,17,UTR0751 005,1
Y12P11417,208497,COOK COUNTY HEALTH DEPT,8,1421 MILWAUKEE,GLENVIEW,60025,1421 MILWAUKEE_GLENVIEW_60025,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,04-May-12,Culex,SP,UTR1024,GISSA,-87.864734,42.081525,IDPH,20,03-May-12,18,UTR1024 20,1
Y12P11414,208494,COOK COUNTY HEALTH DEPT,21,15405 KENTON AVE,OAK FOREST,60452,15405 KENTON AVE_OAK FOREST_60452,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,35,Female,RAMP WNV,NEGATIVE,0,04-May-12,Culex,SP,UTR0706,GISSA,-87.731827,41.612517,IDPH,17,30-Apr-12,18,UTR0706 17,1
Y12P11416,208496,COOK COUNTY HEALTH DEPT,30,7921 W. 101ST STREET,PALOS HILLS,60465,7921 W. 101ST STREET_PALOS HILLS_60465,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,30,Female,RAMP WNV,NEGATIVE,0,04-May-12,Culex,SP,UTR0745,GISSA,-87.815516,41.707639,IDPH,19,30-Apr-12,18,UTR0745 19,1
Y12P11418,208498,COOK COUNTY HEALTH DEPT,36,2790 BROOK DALE,NORTHBROOK,60062,2790 BROOK DALE_NORTHBROOK_60062,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,04-May-12,Culex,SP,UTR1037,GISSA,-87.859811,42.102778,IDPH,21,03-May-12,18,UTR1037 21,1
Y12P11420,208500,COOK COUNTY HEALTH DEPT,38,4303 WESTVIEW,NORTHBROOK,60062,4303 WESTVIEW_NORTHBROOK_60062,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,04-May-12,Culex,SP,UTR1027,GISSA,-87.863114,42.090746,IDPH,23,03-May-12,18,UTR1027 23,1
Y12P11415,208495,COOK COUNTY HEALTH DEPT,40,9100 PULASKI ROAD,OAK LAWN,60453,9100 PULASKI ROAD_OAK LAWN_60453,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,04-May-12,Culex,SP,UTR0758,GISSA,-87.721723,41.727724,IDPH,18,30-Apr-12,18,UTR0758 18,1
Y12P11419,208499,COOK COUNTY HEALTH DEPT,50,3913 HARVEST LANE,GLENVIEW,60025,3913 HARVEST LANE_GLENVIEW_60025,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,04-May-12,Culex,SP,UTR1034,GISSA,-87.852019,42.09763,IDPH,22,03-May-12,18,UTR1034 22,1
Y12P00455,199431,CITY OF NAPERVILLE,G1,NORTH AURORA RD. AND GENESEE,NAPERVILLE,60563,NORTH AURORA RD. AND GENESEE_NAPERVILLE_60563,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,02-May-12,Culex,SP,UTR0804,GISSA,-88.22075,41.78144,IDPH,016,02-May-12,18,UTR0804 016,1
Y12P00462,199438,CITY OF NAPERVILLE,G10,1152 BLUE LARKSPUR LN.,NAPERVILLE,60540,1152 BLUE LARKSPUR LN._NAPERVILLE_60540,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,02-May-12,Culex,SP,UTR0779,GISSA,-88.126407,41.757469,IDPH,020,02-May-12,18,UTR0779 020,1
Y12P00463,199439,CITY OF NAPERVILLE,G11*,MARSHALL CT.,NAPERVILLE,60565,MARSHALL CT._NAPERVILLE_60565,WILL,WILL COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,02-May-12,Culex,SP,UTR0763,IDPH,-88.12711,41.73218,IDPH,021,02-May-12,18,UTR0763 021,1
Y12P00457,199433,CITY OF NAPERVILLE,G4,25W670 PLANK RD.,NAPERVILLE,60563,25W670 PLANK RD._NAPERVILLE_60563,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,02-May-12,Culex,SP,UTR0809,GISSA,-88.124169,41.787577,IDPH,017,02-May-12,18,UTR0809 017,1
Y12P00459,199435,CITY OF NAPERVILLE,G7,1021 JACKSON AV.,NAPERVILLE,60540,1021 JACKSON AV._NAPERVILLE_60540,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,21,Female,RAMP WNV,NEGATIVE,0,02-May-12,Culex,SP,UTR0791,GISSA,-88.162748,41.772331,IDPH,018,02-May-12,18,UTR0791 018,1
Y12P00461,199437,CITY OF NAPERVILLE,G8,731 S. WEST ST.,NAPERVILLE,60540,731 S. WEST ST._NAPERVILLE_60540,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,02-May-12,Culex,SP,UTR0783,GISSA,-88.158407,41.765245,IDPH,019,02-May-12,18,UTR0783 019,1
Y12P00268,199302,IDPH,IDPH 06,7401 WEST LAWRENCE AVE.,HARWOOD HEIGHTS,60706,7401 WEST LAWRENCE AVE._HARWOOD HEIGHTS_60706,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,7,Female,RAMP WNV,NEGATIVE,0,02-May-12,Culex,PIPIENS/RESTUANS,UTR0946,GISSA,-87.812131,41.967093,IDPH,017,01-May-12,18,UTR0946 017,1
Y12P00271,199305,IDPH,IDPH 101,5348 STONY CREEK DRIVE,OAK LAWN,60453,5348 STONY CREEK DRIVE_OAK LAWN_60453,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,02-May-12,Culex,PIPIENS/RESTUANS,UTR0737,GISSA,-87.752938,41.699163,IDPH,020,01-May-12,18,UTR0737 020,1
Y12P00272,199306,IDPH,IDPH 101,5348 STONY CREEK DRIVE,OAK LAWN,60453,5348 STONY CREEK DRIVE_OAK LAWN_60453,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,02-May-12,Culex,PIPIENS/RESTUANS,UTR0737,GISSA,-87.752938,41.699163,IDPH,021,01-May-12,18,UTR0737 021,1
Y12P00273,199307,IDPH,IDPH 101,5348 STONY CREEK DRIVE,OAK LAWN,60453,5348 STONY CREEK DRIVE_OAK LAWN_60453,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,02-May-12,Culex,PIPIENS/RESTUANS,UTR0737,GISSA,-87.752938,41.699163,IDPH,022,01-May-12,18,UTR0737 022,1
Y12P00274,199308,IDPH,IDPH 101,5348 STONY CREEK DRIVE,OAK LAWN,60453,5348 STONY CREEK DRIVE_OAK LAWN_60453,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,02-May-12,Culex,PIPIENS/RESTUANS,UTR0737,GISSA,-87.752938,41.699163,IDPH,023,01-May-12,18,UTR0737 023,1
Y12P00283,199317,IDPH,IDPH 101,5348 STONY CREEK DRIVE,OAK LAWN,60453,5348 STONY CREEK DRIVE_OAK LAWN_60453,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,6,Female,RAMP WNV,NEGATIVE,0,09-May-12,Culex,PIPIENS/RESTUANS,UTR0737,GISSA,-87.752938,41.699163,IDPH,026,03-May-12,18,UTR0737 026,1
Y12P00287,199321,IDPH,IDPH 105,CENTRAL AVE/EDISON AVE,OAK LAWN,60453,CENTRAL AVE/EDISON AVE_OAK LAWN_60453,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,09-May-12,Culex,PIPIENS/RESTUANS,UTR0750,GISSA,-87.74943,41.71211,IDPH,030,03-May-12,18,UTR0750 030,1
Y12P00284,199318,IDPH,IDPH 106,4400 PERSHING,DOWNERS GROVE,60515,4400 PERSHING_DOWNERS GROVE_60515,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,28,Female,RAMP WNV,NEGATIVE,0,09-May-12,Culex,PIPIENS/RESTUANS,UTR0826,GISSA,-88.036737,41.806173,IDPH,027,03-May-12,18,UTR0826 027,1
Y12P00286,199320,IDPH,IDPH 109,15100 CANAL BANK ROAD,LEMONT,60439,15100 CANAL BANK ROAD_LEMONT_60439,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,5,Female,RAMP WNV,NEGATIVE,0,09-May-12,Culex,PIPIENS/RESTUANS,UTR0733,GISSA,-87.984166,41.686801,IDPH,029,03-May-12,18,UTR0733 029,1
Y12P00275,199309,IDPH,IDPH 111,15524 130TH PLACE,LEMONT,60439,15524 130TH PLACE_LEMONT_60439,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,02-May-12,Culex,PIPIENS/RESTUANS,UTR0714,GISSA,-87.997908,41.650382,IDPH,009,01-May-12,18,UTR0714 009,1
Y12P00276,199310,IDPH,IDPH 111,15524 130TH PLACE,LEMONT,60439,15524 130TH PLACE_LEMONT_60439,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,02-May-12,Culex,PIPIENS/RESTUANS,UTR0714,GISSA,-87.997908,41.650382,IDPH,010,01-May-12,18,UTR0714 010,1
Y12P00277,199311,IDPH,IDPH 111,15524 130TH PLACE,LEMONT,60439,15524 130TH PLACE_LEMONT_60439,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,02-May-12,Culex,PIPIENS/RESTUANS,UTR0714,GISSA,-87.997908,41.650382,IDPH,011,01-May-12,18,UTR0714 011,1
Y12P00239,199274,IDPH,IDPH112,8700 SOUTH KEDZIE AVE.,EVERGREEN PARK,60805,8700 SOUTH KEDZIE AVE._EVERGREEN PARK_60805,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,02-May-12,Culex,PIPIENS/RESTUANS,UTR0768,GISSA,-87.702216,41.735186,IDPH,001,01-May-12,18,UTR0768 001,1
