OBJECTID,ORGANIZATION,LOCATEID,COLLECADDRES,COLLECCITY,COLLECZIP,COMP_ADDR,FIPSCOUNTY,JURISDNAME,TRAPTYPE,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,ISPOS,TESTDATE,GENUS,SPECIES,LL_Source,LOGITUDE,LATITUDE,COLLECSAMPLEID,COLLECDATE,WEEK_NEW,NUMTESTS,UniqueID
221377,Northwest MAD,NWBR2,Stover and Palatine Rds,BARRINGTON,60010,Stover and Palatine Rds_BARRINGTON_60010,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,15-May-13,Culex,PIPIENS/RESTUANS,IDPH,-88.16306,42.1139,6,2-May-13,18,1,NWBR2_6
221378,Northwest MAD,NWBR2,Stover and Palatine Rds,BARRINGTON,60010,Stover and Palatine Rds_BARRINGTON_60010,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,15-May-13,Culex,PIPIENS/RESTUANS,IDPH,-88.16306,42.1139,7,2-May-13,18,1,NWBR2_7
221402,Northwest MAD,NWEG2,West Glenn Terrace and Easton Ln.,ELK GROVE VILLAGE,60007,West Glenn Terrace and Easton Ln._ELK GROVE VILLAGE_60007,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,34,Female,RAMP WNV,NEGATIVE,0,15-May-13,Culex,PIPIENS/RESTUANS,IDPH,-88.04102,42.00442,28,3-May-13,18,1,NWEG2_28
221408,Northwest MAD,NWEG3,812 ROPPOLO DRIVE,ELK GROVE VILLAGE,60007,812 ROPPOLO DRIVE_ELK GROVE VILLAGE_60007,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,52,Female,RAMP WNV,NEGATIVE,0,15-May-13,Culex,PIPIENS/RESTUANS,GISSA,-87.953531,42.01279,26,3-May-13,18,1,NWEG3_26
221434,Northwest MAD,NWHE1,30W509 SHOE FACTORY RD.,HOFFMAN ESTATES,60192,30W509 SHOE FACTORY RD._HOFFMAN ESTATES_60192,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,15-May-13,Culex,PIPIENS/RESTUANS,IDPH,-88.23263,42.05819,15,2-May-13,18,1,NWHE1_15
221000,DUPAGE COUNTY HEALTH DEPT,301,130 Forest Avenue,ITASCA,60143,130 Forest Avenue_ITASCA_60143,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,22,Female,RAMP WNV,NEGATIVE,0,9-May-13,Culex,PIPIENS,GISSA,-88.017384,41.969101,E13002,8-May-13,19,1,301_E13002
221001,DUPAGE COUNTY HEALTH DEPT,307,542 Walnut St.,ELMHURST,60126,542 Walnut St._ELMHURST_60126,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,10,Female,RAMP WNV,NEGATIVE,0,16-May-13,Culex,PIPIENS,GISSA,-87.9501,41.915797,E13003,8-May-13,19,1,307_E13003
221523,Clarke Mosquito Control,D404,126 S MILTON,GLEN ELLYN,60137,126 S MILTON_GLEN ELLYN_60137,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,19,Female,RAMP WNV,NEGATIVE,0,6-Jun-13,Culex,PIPIENS/RESTUANS,GISSA,-88.058526,41.8547,013-0008,5-May-13,19,1,D404_013-0008
221279,CITY OF NAPERVILLE,G12,2807 S. WASHINGTON ST.,NAPERVILLE,60565,2807 S. WASHINGTON ST._NAPERVILLE_60565,WILL,WILL COUNTY HEALTH DEPT,GRAVID TRAP,16,Female,RAMP WNV,NEGATIVE,0,7-May-13,Culex,SP,GISSA,-88.12711,41.73218,009,7-May-13,19,1,G12_009
222743,CITY OF NAPERVILLE,G4,25W670 PLANK RD.,NAPERVILLE,60563,25W670 PLANK RD._NAPERVILLE_60563,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,30,Female,RAMP WNV,NEGATIVE,0,11-Jun-13,Culex,SP,GISSA,-88.124169,41.787577,046,11-May-13,19,1,G4_046
221371,Northwest MAD,NWBG1,739 Weidner Rd,BUFFALO GROVE,60089,739 Weidner Rd_BUFFALO GROVE_60089,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,20,Female,RAMP WNV,NEGATIVE,0,15-May-13,Culex,PIPIENS/RESTUANS,IDPH,-87.97649,42.14123,21,9-May-13,19,1,NWBG1_21
221379,Northwest MAD,NWBR2,Stover and Palatine Rds,BARRINGTON,60010,Stover and Palatine Rds_BARRINGTON_60010,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,15-May-13,Culex,PIPIENS/RESTUANS,IDPH,-88.16306,42.1139,8,6-May-13,19,1,NWBR2_8
221380,Northwest MAD,NWBR2,Stover and Palatine Rds,BARRINGTON,60010,Stover and Palatine Rds_BARRINGTON_60010,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,36,Female,RAMP WNV,NEGATIVE,0,15-May-13,Culex,PIPIENS/RESTUANS,IDPH,-88.16306,42.1139,27,9-May-13,19,1,NWBR2_27
221396,Northwest MAD,NWDP,340 Norman Ct.,DES PLAINES,60016,340 Norman Ct._DES PLAINES_60016,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,26,Female,RAMP WNV,NEGATIVE,0,15-May-13,Culex,PIPIENS/RESTUANS,IDPH,-87.92988,42.04765,29,10-May-13,19,1,NWDP_29
221409,Northwest MAD,NWEG3,812 ROPPOLO DRIVE,ELK GROVE VILLAGE,60007,812 ROPPOLO DRIVE_ELK GROVE VILLAGE_60007,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,4,Female,RAMP WNV,NEGATIVE,0,15-May-13,Culex,PIPIENS/RESTUANS,GISSA,-87.953531,42.01279,5,7-May-13,19,1,NWEG3_5
221416,Northwest MAD,NWEGSH,70 Scott St.,ELK GROVE VILLAGE,60007,70 Scott St._ELK GROVE VILLAGE_60007,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,51,Female,RAMP WNV,NEGATIVE,0,15-May-13,Culex,PIPIENS/RESTUANS,IDPH,-87.97607,42.02747,18,10-May-13,19,1,NWEGSH_18
221422,Northwest MAD,NWEL1,804 VILLA,ELGIN,60120,804 VILLA_ELGIN_60120,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,25,Female,RAMP WNV,NEGATIVE,0,15-May-13,Culex,PIPIENS/RESTUANS,IDPH,-88.25974,42.02845,17,10-May-13,19,1,NWEL1_17
221427,Northwest MAD,NWGL1,435 Hazelwood,GLENVIEW,60025,435 Hazelwood_GLENVIEW_60025,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,27,Female,RAMP WNV,NEGATIVE,0,15-May-13,Culex,PIPIENS/RESTUANS,IDPH,-87.8411,42.06308,14,7-May-13,19,1,NWGL1_14
221428,Northwest MAD,NWGL1,435 Hazelwood,GLENVIEW,60025,435 Hazelwood_GLENVIEW_60025,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,48,Female,RAMP WNV,NEGATIVE,0,15-May-13,Culex,PIPIENS/RESTUANS,IDPH,-87.8411,42.06308,12,10-May-13,19,1,NWGL1_12
221435,Northwest MAD,NWHE1,30W509 SHOE FACTORY RD.,HOFFMAN ESTATES,60192,30W509 SHOE FACTORY RD._HOFFMAN ESTATES_60192,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,52,Female,RAMP WNV,NEGATIVE,0,15-May-13,Culex,PIPIENS/RESTUANS,IDPH,-88.23263,42.05819,16,9-May-13,19,1,NWHE1_16
221449,Northwest MAD,NWNB1,2005 LA VIGNE LN,NORTHBROOK,60056,2005 LA VIGNE LN_NORTHBROOK_60056,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,27,Female,RAMP WNV,NEGATIVE,0,15-May-13,Culex,PIPIENS/RESTUANS,IDPH,-87.860278,42.115833,37,9-May-13,19,1,NWNB1_37
221454,Northwest MAD,NWNB2,3120 N. Milwaukee,NORTHBROOK,60062,3120 N. Milwaukee_NORTHBROOK_60062,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,15-May-13,Culex,PIPIENS/RESTUANS,IDPH,-87.88538,42.09502,10,6-May-13,19,1,NWNB2_10
221455,Northwest MAD,NWNB2,3120 N. Milwaukee,NORTHBROOK,60062,3120 N. Milwaukee_NORTHBROOK_60062,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,15-May-13,Culex,PIPIENS/RESTUANS,IDPH,-87.88538,42.09502,3,9-May-13,19,1,NWNB2_3
221461,Northwest MAD,NWPA1,342 W. HELEN,PALATINE,60067,342 W. HELEN_PALATINE_60067,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,25,Female,RAMP WNV,NEGATIVE,0,15-May-13,Culex,PIPIENS/RESTUANS,IDPH,-88.0527,42.1045,36,9-May-13,19,1,NWPA1_36
221475,Northwest MAD,NWPR2,8600 N. MILWAUKEE AVE.,NILES,60714,8600 N. MILWAUKEE AVE._NILES_60714,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,15-May-13,Culex,PIPIENS/RESTUANS,IDPH,-87.831669,42.033113,1,7-May-13,19,1,NWPR2_1
221478,Northwest MAD,NWPR2,8600 N. MILWAUKEE AVE.,NILES,60714,8600 N. MILWAUKEE AVE._NILES_60714,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,42,Female,RAMP WNV,NEGATIVE,0,15-May-13,Culex,PIPIENS/RESTUANS,IDPH,-87.831669,42.033113,2,7-May-13,19,1,NWPR2_2
221490,Northwest MAD,NWRM1,3709 Holly Lane,ROLLING MEADOWS,60008,3709 Holly Lane_ROLLING MEADOWS_60008,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,12,Female,RAMP WNV,NEGATIVE,0,15-May-13,Culex,PIPIENS/RESTUANS,IDPH,-88.027866,42.079233,38,10-May-13,19,1,NWRM1_38
221503,Northwest MAD,NWST1,1500 OLD CHURCH ROAD,STREAMWOOD,60107,1500 OLD CHURCH ROAD_STREAMWOOD_60107,COOK,COOK COUNTY HEALTH DEPT,GRAVID TRAP,45,Female,RAMP WNV,NEGATIVE,0,15-May-13,Culex,PIPIENS/RESTUANS,IDPH,-88.148,42.033,33,10-May-13,19,1,NWST1_33
221014,DUPAGE COUNTY HEALTH DEPT,103,28W335 RIVERA COURT,CAROL STREAM,60188,28W335 RIVERA COURT_CAROL STREAM_60188,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,17-May-13,Culex,SP,IDPH,-88.173268,41.93407,C13001,15-May-13,20,1,103_C13001
221015,DUPAGE COUNTY HEALTH DEPT,109,5N430 RAILROAD STREET,WAYNE,60184,5N430 RAILROAD STREET_WAYNE_60184,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,15,Female,RAMP WNV,NEGATIVE,0,17-May-13,Culex,SP,GISSA,-88.24924,41.950872,C13002,15-May-13,20,1,109_C13002
221016,DUPAGE COUNTY HEALTH DEPT,201,6N275 Virginia Road,KEENEYVILLE,60172,6N275 Virginia Road_KEENEYVILLE_60172,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,17-May-13,Culex,SP,IDPH,-88.117762,41.963811,C13003,15-May-13,20,1,201_C13003
223089,DUPAGE COUNTY HEALTH DEPT,208,"Thorndale Avenue, Meacham Creek Park",ITASCA,60143,"Thorndale Avenue, Meacham Creek Park_ITASCA_60143",DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,17-May-13,Culex,SP,GISSA,-88.01989,41.97552,E13001,16-May-13,20,1,208_E13001
221002,DUPAGE COUNTY HEALTH DEPT,310,CHURCH ST,BENSENVILLE,60106,CHURCH ST_BENSENVILLE_60106,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,20,Female,RAMP WNV,NEGATIVE,0,17-May-13,Culex,PIPIENS,GISSA,-87.94689,41.95417,E13004,16-May-13,20,1,310_E13004
221017,DUPAGE COUNTY HEALTH DEPT,400,28W664 WASHINGTON AVE,WEST CHICAGO,60185,28W664 WASHINGTON AVE_WEST CHICAGO_60185,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,17-May-13,Culex,SP,IDPH,-88.181875,41.864012,C13004,15-May-13,20,1,400_C13004
221018,DUPAGE COUNTY HEALTH DEPT,401,203 Grand Lake Blvd.,WEST CHICAGO,60185,203 Grand Lake Blvd._WEST CHICAGO_60185,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,20,Female,RAMP WNV,NEGATIVE,0,17-May-13,Culex,SP,IDPH,-88.209927,41.890016,C13005,15-May-13,20,1,401_C13005
221019,DUPAGE COUNTY HEALTH DEPT,406,19W421 BUTTERFIELD,WARRENVILLE,60555,19W421 BUTTERFIELD_WARRENVILLE_60555,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,33,Female,RAMP WNV,NEGATIVE,0,17-May-13,Culex,SP,GISSA,-88.18793,41.82422,C13006,15-May-13,20,1,406_C13006
221020,DUPAGE COUNTY HEALTH DEPT,407,0S611 JEFFERSON STREET,WINFIELD,60190,0S611 JEFFERSON STREET_WINFIELD_60190,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,19,Female,RAMP WNV,NEGATIVE,0,17-May-13,Culex,SP,GISSA,-88.1522,41.8604,C13007,15-May-13,20,1,407_C13007
221021,DUPAGE COUNTY HEALTH DEPT,501,818 Carlson Avenue,WHEATON,60187,818 Carlson Avenue_WHEATON_60187,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,17-May-13,Culex,SP,IDPH,-88.116694,41.872809,C13008,15-May-13,20,1,501_C13008
221022,DUPAGE COUNTY HEALTH DEPT,503,Sanitary Dist/Shaffner Rd,WHEATON,60187,Sanitary Dist/Shaffner Rd_WHEATON_60187,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,17-May-13,Culex,SP,IDPH,-88.143233,41.845244,C13009,15-May-13,20,1,503_C13009
220985,DUPAGE COUNTY HEALTH DEPT,506,Morton Arb W/4100 Rt 53,LISLE,60532,Morton Arb W/4100 Rt 53_LISLE_60532,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,35,Female,RAMP WNV,NEGATIVE,0,16-May-13,Culex,SP,IDPH,-88.087311,41.814018,SE13001,15-May-13,20,1,506_SE13001
220986,DUPAGE COUNTY HEALTH DEPT,511,784 Chidester,GLEN ELLYN,60137,784 Chidester_GLEN ELLYN_60137,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,37,Female,RAMP WNV,NEGATIVE,0,15-May-13,Culex,SP,GISSA,-88.054135,41.886775,SE13002,15-May-13,20,1,511_SE13002
221023,DUPAGE COUNTY HEALTH DEPT,512,Seven Gables Park,WHEATON,60187,Seven Gables Park_WHEATON_60187,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,17-May-13,Culex,SP,GISSA,-88.1087,41.87038,C13010,15-May-13,20,1,512_C13010
221005,DUPAGE COUNTY HEALTH DEPT,516,"HAMPE PARK, CAROL STREAM, IL",CAROL STREAM,60188,"HAMPE PARK, CAROL STREAM, IL_CAROL STREAM_60188",DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,35,Female,RAMP WNV,NEGATIVE,0,17-May-13,Culex,PIPIENS,IDPH,-88.127003,41.932635,E13007,16-May-13,20,1,516_E13007
221003,DUPAGE COUNTY HEALTH DEPT,604,470 18th Street,LOMBARD,60148,470 18th Street_LOMBARD_60148,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,24,Female,RAMP WNV,NEGATIVE,0,17-May-13,Culex,PIPIENS,GISSA,-88.008566,41.848942,E13005,16-May-13,20,1,604_E13005
220987,DUPAGE COUNTY HEALTH DEPT,607,920 Harger Rd.,OAK BROOK,60523,920 Harger Rd._OAK BROOK_60523,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,27,Female,RAMP WNV,NEGATIVE,0,16-May-13,Culex,SP,GISSA,-87.942263,41.852266,SE13003,15-May-13,20,1,607_SE13003
221004,DUPAGE COUNTY HEALTH DEPT,610,"949 N. GRACE STREET, LOMBARD, ILLINOIS",LOMBARD,60148,"949 N. GRACE STREET, LOMBARD, ILLINOIS_LOMBARD_60148",DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,15,Female,RAMP WNV,NEGATIVE,0,17-May-13,Culex,PIPIENS,IDPH,-88.007449,41.906584,E13006,16-May-13,20,1,610_E13006
221024,DUPAGE COUNTY HEALTH DEPT,704,"Old Eola Road, Ferrellgas corp.",AURORA,60507,"Old Eola Road, Ferrellgas corp._AURORA_60507",DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,17-May-13,Culex,SP,GISSA,-88.30694,41.7665,C13011,15-May-13,20,1,704_C13011
221025,DUPAGE COUNTY HEALTH DEPT,706,9S365 CHANDELLE DR.,NAPERVILLE,60564,9S365 CHANDELLE DR._NAPERVILLE_60564,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,17-May-13,Culex,SP,GISSA,-88.197479,41.733417,C13012,15-May-13,20,1,706_C13012
221026,DUPAGE COUNTY HEALTH DEPT,707,4S626 FENDER ROAD,NAPERVILLE,60563,4S626 FENDER ROAD_NAPERVILLE_60563,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,12,Female,RAMP WNV,NEGATIVE,0,17-May-13,Culex,SP,GISSA,-88.111,41.8028,C13013,15-May-13,20,1,707_C13013
221027,DUPAGE COUNTY HEALTH DEPT,801,1717 Shagbark Court,NAPERVILLE,60540,1717 Shagbark Court_NAPERVILLE_60540,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,39,Female,RAMP WNV,NEGATIVE,0,17-May-13,Culex,SP,GISSA,-88.11702,41.738563,C13014,15-May-13,20,1,801_C13014
220988,DUPAGE COUNTY HEALTH DEPT,802,Sleepy Hollow & Brookwood,LISLE,60532,Sleepy Hollow & Brookwood_LISLE_60532,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,30,Female,RAMP WNV,NEGATIVE,0,16-May-13,Culex,SP,IDPH,-88.087313,41.773075,SE13004,15-May-13,20,1,802_SE13004
220989,DUPAGE COUNTY HEALTH DEPT,808,7036 DUPAGE DRIVE,WOODRIDGE,60517,7036 DUPAGE DRIVE_WOODRIDGE_60517,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,16-May-13,Culex,SP,GISSA,-88.061927,41.76032,SE13005,15-May-13,20,1,808_SE13005
220990,DUPAGE COUNTY HEALTH DEPT,901,5231 Brookbank,DOWNERS GROVE,60515,5231 Brookbank_DOWNERS GROVE_60515,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,16-May-13,Culex,SP,GISSA,-88.016673,41.79259,SE13006,15-May-13,20,1,901_SE13006
220991,DUPAGE COUNTY HEALTH DEPT,902,365 56th Street,CLARENDON HILLS,60514,365 56th Street_CLARENDON HILLS_60514,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,33,Female,RAMP WNV,NEGATIVE,0,16-May-13,Culex,SP,GISSA,-87.960698,41.78662,SE13007,15-May-13,20,1,902_SE13007
220992,DUPAGE COUNTY HEALTH DEPT,904,Lemont Rd,DARIEN,60559,Lemont Rd_DARIEN_60559,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,16-May-13,Culex,SP,GISSA,-87.97683,41.79077,SE13008,15-May-13,20,1,904_SE13008
220993,DUPAGE COUNTY HEALTH DEPT,907,244 Walnut Street,HINSDALE,60521,244 Walnut Street_HINSDALE_60521,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,13,Female,RAMP WNV,NEGATIVE,0,16-May-13,Culex,SP,GISSA,-87.933189,41.806112,SE13009,15-May-13,20,1,907_SE13009
220994,DUPAGE COUNTY HEALTH DEPT,908,18w201 63rd Street,WESTMONT,60559,18w201 63rd Street_WESTMONT_60559,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,24,Female,RAMP WNV,NEGATIVE,0,16-May-13,Culex,SP,GISSA,-87.975961,41.773693,SE13010,15-May-13,20,1,908_SE13010
220995,DUPAGE COUNTY HEALTH DEPT,909,15W400 HARVESTER DR.,BURR RIDGE,60527,15W400 HARVESTER DR._BURR RIDGE_60527,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,13,Female,RAMP WNV,NEGATIVE,0,16-May-13,Culex,SP,GISSA,-87.9256,41.7584,SE13011,15-May-13,20,1,909_SE13011
221280,CITY OF NAPERVILLE,G1,NORTH AURORA RD. AND GENESEE,NAPERVILLE,60563,NORTH AURORA RD. AND GENESEE_NAPERVILLE_60563,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,26,Female,RAMP WNV,NEGATIVE,0,14-May-13,Culex,SP,GISSA,-88.22075,41.78144,010,14-May-13,20,1,G1_010
222761,CITY OF NAPERVILLE,G10,1152 BLUE LARKSPUR LN.,NAPERVILLE,60540,1152 BLUE LARKSPUR LN._NAPERVILLE_60540,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,30,Female,RAMP WNV,NEGATIVE,0,18-May-13,Culex,SP,GISSA,-88.126407,41.757469,064,18-May-13,20,1,G10_064
221283,CITY OF NAPERVILLE,G12,2807 S. WASHINGTON ST.,NAPERVILLE,60565,2807 S. WASHINGTON ST._NAPERVILLE_60565,WILL,WILL COUNTY HEALTH DEPT,GRAVID TRAP,18,Female,RAMP WNV,NEGATIVE,0,14-May-13,Culex,SP,GISSA,-88.12711,41.73218,013,14-May-13,20,1,G12_013
222763,CITY OF NAPERVILLE,G12,2807 S. WASHINGTON ST.,NAPERVILLE,60565,2807 S. WASHINGTON ST._NAPERVILLE_60565,WILL,WILL COUNTY HEALTH DEPT,GRAVID TRAP,30,Female,RAMP WNV,NEGATIVE,0,18-Jun-13,Culex,SP,GISSA,-88.12711,41.73218,066,18-May-13,20,1,G12_066
222767,CITY OF NAPERVILLE,G16,3715 IDLEWILD LN.,NAPERVILLE,60564,3715 IDLEWILD LN._NAPERVILLE_60564,WILL,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,30,Female,RAMP WNV,NEGATIVE,0,18-Jun-13,Culex,SP,GISSA,-88.219487,41.710705,070,18-May-13,20,1,G16_070
221281,CITY OF NAPERVILLE,G2,RT. 59 AND DIEHL RD.,NAPERVILLE,60563,RT. 59 AND DIEHL RD._NAPERVILLE_60563,DUPAGE,DUPAGE COUNTY HEALTH DEPT,GRAVID TRAP,12,Female,RAMP WNV,NEGATIVE,0,14-May-13,Culex,SP,GISSA,-88.16775,41.79228,011,15-May-13,20,1,G2_011
